Video Problems|Title|Director|Studio|Country|Language|Subtitles|Year|Runtime|Timecode for Thumbnail|Filming Location|Setting City|Key Awards|Actors|Media received|Synopsis|Genre|Sub-Genre|Subject|Sub-Subject|Age 2-4|Age 5-6|Age 7-8|Age 9-12|Age 13-14|Age 14+|Issues Related to Selected Age Range|Value of the film despite Issues Related to Age Range|Profile Bucket|Mood|Homepage List|Tags Provided
|(Ex)Changed|Angad Singh|One Light Films|USA|English||2011|0:19:33|0:11:22||Alpharetta, Georgia|2011 Hollywood International Family Film Festival Best Youth Documentary Winner, 2011 Los Angeles Action/Cut Short Film Festival Most Promising Documentarian, 2011 Sikhnet Online Film Festival Best Youth Filmmaker Winner|Angad Singh|EX CHANGED.mp4|Sikh-American teenager, Angad, takes the message of friendship and building bridges to an international level. He and his American classmates host 32 French high school students for two weeks as part of an exchange program. They get to know French lifestyle and culture on an individual level, breaking the common stereotypes that they had of the French, while showing their guests the true face of America.|Nonfiction Section, Action & Adventure, Youth-Produced Movies|Lives of Others, Best Buds|Identity|Cultural Identity|||||x|x|||Happy, Think|Learn Something New, make new friends|Top Rated|
|A Dog Goes From Here to There|Carl Knickerbocker|Suburban Primitive Films|USA|English||2009|0:05:50|0:02:18|||Melbourne Independent Filmmakers Festival Best Animation Winner|Tom Nowicki|ADogGoesFromHereToThere_20100408_DVD.mov|A dog's view of transportation both real and imagined. Colorful, fanciful and quirky with a cool jazz musical soundtrack.|Animation|Mixed Materials|Animals, Travel|Dogs|x|x|x|x|x|x|||Excited, Laugh|Just Relax, Laugh Out Loud|Animation Antics|
|A Film About Poo|Emily Howells, Anne Wilkins|Emily & Anne|UK|English||2009|0:01:30|0:00:49|||2009 London International Animation Festival Golden Poo Awards Winner, 2009 Canary Wharf Film Festival London Audience Choice, 2010 Limelight Awards Best Animation, 2010 New York International Children's Film Festival Audience Choice, 2010 BFI Future Film Festival Best Animation||A Film about Poo_facets.mov|Some musical advice about what to do after you do a pooh.|Animation|Computer-Generated, Hand-Drawn|Your Body|Bathroom Etiquette|x||||||||Laugh|Laugh Out Loud, Learn Something New|Top Rated|
|A Long Distance Call|Joe Chang|Joe's Film Co.,Ltd|Canada, China|Chinese|English|2008|0:12:03|0:03:24|||2009 The Short Film Corner Cannes Official Selection, 2009 THE INTERNATIONAL FILM FESTIVAL OF PATRAS CITY – GREECE Official Selection, 2009 The 13th Annual LA Shorts Fest Official Selection||A Long-distance Call 720P.mp4|A young artist comes to visit a small village in the secluded mountains of southern China. She paints, draws, and takes photos of what she sees. When she notices that there are only children and very old people in the village, she allows a little girl to use her cell phone to call her father. This story is meant to call attention to the relationship between parents who are off working far away and their children remaining in rural villages.|Animation|Mixed Materials|Adjusting to New Settings|Small-Town Life||x|x||||||Excited|Learn Something New|Animation Antics|
|A Noiseless Patient Spider|Nancy J. Rodwan|Rodwan Productions LLC|USA|English||2009|0:02:11|0:01:34|||2011 California Film Awards Best Animated Short Film Winner, 2010 Oregon Film Awards Gold Level Award Winner, 2010 Canada International Film Festiva Royal Reel Award for Excellence in Filmmaking Winner, 2009 Chicago Internation Children's Film Festival Reel Poetry Prize Nominee 2009, 2009 California Indie Fest Award of Merit Winner|Stuffy Shmitt|A Noiseless Patient Spider.mkv|<i>A Noiseless Patient Spider</i> ventures to connect images with Walt Whitman's words. Follow the spider whose strong will and tenacious spirit are depicted in black and white paintings along with a soulful reading of the poem by musician/actor Stuffy Shmitt.|Animation|Hand-Drawn|Bugs, Art and Dance|Poetry and prose||x|x|x|x|x|||Think|Just Relax|Top Rated|
|A Plan|Tom Schroeder|Ein Aus Animation|USA|Nonverbal||2004|0:08:13|0:06:37|||2005 Brazil Selected for Anima Mundi Special Tour, 2005 Decatur GA Paste Rock and Reel Festival Best Children/Family Film Winner, 2006 Sante Fe Kids First Film and Video Festival Best Short ages 8-12 Nominee, 2006 New Orleans Film Festival Best Animation Winner||a_plan.mp4|A boy with an active imagination spends a day out with his parents in a boat. He concludes that the boat will run out of gas and, rather than tell his father, sets about creating a plan to save the day. <i>A Plan</i> details the pleasures of a day on the water with lyrical animation and meticulous, yet unassuming sound design. And with a gentle, comic detachment the film examines the pressures that reality brings to bear upon a boy's self-aggrandizing fantasies.|Animation|Mixed Materials|Child Protagonists, Cool Machines|Explorers, Boats||x|||||||Happy|Just Relax|Top Rated|
|A Princess Tale|Sidsel Lindhagen|Blystakk Productions|Norway|Nonverbal||2008|0:10:00|0:05:00|||||A.Princess_H264.mp4|A little girl dreams of being a princess and with a little effort the dream comes true. The prince enters, but things don't always go according to plan....|Animation, Fantastic Worlds, Foreign Language Film, A Little Romance|Hand-Drawn, Mythology, Legends & Tall Tales, Fairy Tales, Knights and Damsels, Dragons, Scandinavian|Friendship, Grown Ups, Child Protagonists|New Friends||x|||||||Laugh, Happy|Make New Friends, Just Relax|Animation Antics|
|A Tree and a Flower|Tomoko Oguchi|Tomoko Oguchi Animation|USA|English||2010|0:05:23|0:02:51|||2010 Wildlife Vaasa Festival Youth Animations Winner, 2010 Chicago International Children's Film Festival Official Selection, 2011 W. Puchalski International Nature Film Festival Special Prize|Paul Savior|a_tree_and_a_flower_PAL.mov|A lonely tree in a crowded town grows a beautiful flower.|Animation|Mixed Materials|Environment|Energy Conservation, Nature|x|x|x|x|x|x|||Happy|Change the World|Top Rated|
|After Hours|Marshall Fels Elliott|Marshall Fels Elliott Animation and Design|Canada|Nonverbal||2010|0:04:34|0:02:14|||2010 Chicago International Children's Film Festival Official Selection, 2010 Shanghai World Expo Official Selection, 2008 Teletoon Animation Scholarship Competition Most Promising Student Nominee||After_Hours_Marshall_Fels_Elliott.mov|<i>After Hours</i> is based on a true story about an overworked animator who is haunted by one of his characters. The short film is a horror-comedy love story with elephants.|Animation, Scary Movies, A Little Romance|Hand-Drawn, Computer-Generated|Your Movies|Filmmakers and Photographers|x|x|x|x|x|x|Mild Mature Subjects|The film might be a little scary for young ones, but it has a happy ending that redeems it.|Scared, Laugh|Get Goosebumps, Laugh out Loud, Fall in Love|Top Rated|
|Aladdin's Journey|Gerald Conn, Jane Hubbard|Gritty Realism Productions|UK|Nonverbal|English|2008|0:03:36|0:02:00|||||Aladdin's Journey.mov|This short animated film inspired by the style of Chinese shadow puppets tells the story of how Aladdin leaves home in search of his fortune. The film was made by pupils from Oakfield primary school.|Animation, Fantastic Worlds, Youth-Produced Movies|Hand-Drawn, Mixed Materials, Mythology, Legends and Tall Tales|Travel|Desert||x|x|x|x|x|||Excited|Space to Think|Brand New|
|Ali’s Story|n/a|Mouth That Roars|UK|Arabic|English|2008|0:04:53|0:03:10|Morocco|Morocco|||Mouth That Roars - Ali's Story 720p.mp4|A drama made by young people from a Mansouria School in southern Morocco about their views on education. This film has been screened internationally.|Nonfiction Section, Dramatic Arts|Lives of Others|Different Perspectives|Crosscultural|||x|x|x||||Think, Happy|Learn Something New, Tough Choices|Picks for Me|
|Aqua Melodies|Johnathan Roatch|Huntington University|USA|Nonverbal||2007|0:03:30|0:00:40|||2010 Taiwan International Children's Film Festival Official Selection||Aqua Melodies.mp4|Colorful animated tadpoles, fish, and other aquatic creatures move to music creating shapes and patterns, inspired by the Nintendo DS game Electroplankton. The song used in this film, "Journey of a Raindrop," was composed with Electroplankton in 2006 for Nintendo Nsider Forums.|Animation, Fantastic Worlds|Under the Sea|Animals, Art and Dance, Music|Sea Creatures|x|x|||||||Happy|Just Relax, Feel Calm and Collected, Heighten My Senses|Animation Antics|
|Beach|Gerald Conn|Gritty Realism Productions|UK|Nonverbal|English|2001|0:04:09|0:00:05|||||Beach.mov|A film about what happens to litter that gets left behind at the beach. It was made with a group of young people from Swansea.|Nonfiction Section|Environmental Awareness|Your world, Travel|Energy Conservation, Beaches|||x|x|x||||Think|Change the World|Brand New|
|Bob|Jacob Frey|Filmakademie Baden-Württemberg|Germany|Nonverbal||2009|0:04:00|0:01:06|||2011 Chicago International Children's Film Festival Children's jury first prize Winner, 2010 Paris Festival International des Trés Courts Audience Award Winner, 2010 New York Ballston Spa Film Festival Best Comedy Winner, 2012 Cambridge International Student Film Festival Best Direction Winner, 2012 Melbourne Victoria Independent Film Festival Best Animation Winner||Bob.mp4|A hamster is chasing his love around the globe. Will he get her?|Animation|Computer-Generated|Animals|Various||x|x|x|x|x|||Laugh|Laugh Out Loud|Top Rated|
